HostName,Instance
pritctxvdiccws1,t3a.2xlarge
pritctxvdiccws2,t3a.2xlarge
pritctxvdiccws3,t3a.2xlarge
pritctxvdiccws4,t3a.2xlarge
qaitctxvdiccws1,t3a.xlarge
qaitctxvdiccws2,t3a.xlarge
vcf-vdi-fx-vrm01,t3a.xlarge
vcf-vdi-fx-vrm02,t3a.xlarge
vcf-vdi-fx-vrm03,t3a.xlarge
vcf-vdi-fx-vrm04,t3a.xlarge
vcf-vdi-rc-vrm01,t3a.xlarge
vcf-vdi-rc-vrm02,t3a.xlarge
vcf-vdi-rc-vrm03,t3a.xlarge
vcf-vdi-rc-vrm04,t3a.xlarge
vcf-vdi-vrnic1,t3a.2xlarge
VDI-IMG_Blank_20250228,t3a.xlarge
VDI-IMG_Blank_20250303,t3a.xlarge
VDI-IMG_Blank_20250414,t3a.xlarge
VDI-IMG_Blank_20250415,t3a.xlarge
VDI-IMG_Blank_20250423,t3a.xlarge
VDI-IMG_Blank2_20250415,t3a.xlarge
vdi-iperf-fx-n1ph01,t3a.xlarge
vdi-iperf-fx-n1ph02,t3a.xlarge
vdi-iperf-rc-n1ph01,t3a.xlarge
vdi-iperf-rc-n1ph02,t3a.xlarge
vdi-iperf-rc-n1ph03,t3a.xlarge
VDI-WIN10,r5a.large
VDI-WIN11,t3a.xlarge
VDI-WIN11-FX,t3a.xlarge
VDI-WIN11-Template,t3a.xlarge
VDIWIN11TST001,t3a.xlarge
VDIWIN11TST002,t3a.xlarge
VDIWIN11TST003,t3a.xlarge
VDIWIN11TST004,t3a.xlarge
VDIWIN11TST005,t3a.xlarge
VDIWIN11TST006,t3a.xlarge
VDIWIN11TST007,t3a.xlarge
VDIWIN11TST008,t3a.xlarge
VDIWIN11TST009,t3a.xlarge
VDIWIN11TST010,t3a.xlarge
VDIWIN11TST011,t3a.xlarge
VDIWIN11TST012,t3a.xlarge
VDIWIN11TST013,t3a.xlarge
VDIWIN11TST014,t3a.xlarge
VDIWIN11TST015,t3a.xlarge
VDIWIN11TST016,t3a.xlarge
VDIWIN11TST017,t3a.xlarge
VDIWIN11TST018,t3a.xlarge
VDIWIN11TST019,t3a.xlarge
VDIWIN11TST020,t3a.xlarge
VDIWIN11TST021,t3a.xlarge
VDIWIN11TST022,t3a.xlarge
VDIWIN11TST023,t3a.xlarge
VDIWIN11TST024,t3a.xlarge
VDIWIN11TST025,t3a.xlarge
VDIWIN11TST026,t3a.xlarge
VDIWIN11TST027,t3a.xlarge
VDIWIN11TST028,t3a.xlarge
VDIWIN11TST029,t3a.xlarge
VDIWIN11TST030,t3a.xlarge
VDIWIN11TST031,t3a.xlarge
VDIWIN11TST032,t3a.xlarge
VDIWIN11TST033,t3a.xlarge
VDIWIN11TST034,t3a.xlarge
VDIWIN11TST035,t3a.xlarge
VDIWIN11TST036,t3a.xlarge
VDIWIN11TST037,t3a.xlarge
VDIWIN11TST038,t3a.xlarge
VDIWIN11TST039,t3a.xlarge
VDIWIN11TST040,t3a.xlarge
VDIWIN11TST041,t3a.xlarge
VDIWIN11TST042,t3a.xlarge
VDIWIN11TST043,t3a.xlarge
