HostName,R-Strategy
pritctxvdiccws1,Rehost
pritctxvdiccws2,Rehost
pritctxvdiccws3,Rehost
pritctxvdiccws4,Rehost
qaitctxvdiccws1,Rehost
qaitctxvdiccws2,Rehost
vcf-vdi-fx-vrm01,Rehost
vcf-vdi-fx-vrm02,Rehost
vcf-vdi-fx-vrm03,Rehost
vcf-vdi-fx-vrm04,Rehost
vcf-vdi-rc-vrm01,Rehost
vcf-vdi-rc-vrm02,Rehost
vcf-vdi-rc-vrm03,Rehost
vcf-vdi-rc-vrm04,Rehost
vcf-vdi-vrnic1,Replatform
VDI-IMG_Blank_20250228,Replatform
VDI-IMG_Blank_20250303,Replatform
VDI-IMG_Blank_20250414,Replatform
VDI-IMG_Blank_20250415,Replatform
VDI-IMG_Blank_20250423,Replatform
VDI-IMG_Blank2_20250415,Replatform
vdi-iperf-fx-n1ph01,Rehost
vdi-iperf-fx-n1ph02,Rehost
vdi-iperf-rc-n1ph01,Rehost
vdi-iperf-rc-n1ph02,Rehost
vdi-iperf-rc-n1ph03,Rehost
VDI-WIN10,Replatform
VDI-WIN11,Replatform
VDI-WIN11-FX,Replatform
VDI-WIN11-Template,Replatform
VDIWIN11TST001,Replatform
VDIWIN11TST002,Replatform
VDIWIN11TST003,Replatform
VDIWIN11TST004,Replatform
VDIWIN11TST005,Replatform
VDIWIN11TST006,Replatform
VDIWIN11TST007,Replatform
VDIWIN11TST008,Replatform
VDIWIN11TST009,Replatform
VDIWIN11TST010,Replatform
VDIWIN11TST011,Replatform
VDIWIN11TST012,Replatform
VDIWIN11TST013,Replatform
VDIWIN11TST014,Replatform
VDIWIN11TST015,Replatform
VDIWIN11TST016,Replatform
VDIWIN11TST017,Replatform
VDIWIN11TST018,Replatform
VDIWIN11TST019,Replatform
VDIWIN11TST020,Replatform
VDIWIN11TST021,Replatform
VDIWIN11TST022,Replatform
VDIWIN11TST023,Replatform
VDIWIN11TST024,Replatform
VDIWIN11TST025,Replatform
VDIWIN11TST026,Replatform
VDIWIN11TST027,Replatform
VDIWIN11TST028,Replatform
VDIWIN11TST029,Replatform
VDIWIN11TST030,Replatform
VDIWIN11TST031,Replatform
VDIWIN11TST032,Replatform
VDIWIN11TST033,Replatform
VDIWIN11TST034,Replatform
VDIWIN11TST035,Replatform
VDIWIN11TST036,Replatform
VDIWIN11TST037,Replatform
VDIWIN11TST038,Replatform
VDIWIN11TST039,Replatform
VDIWIN11TST040,Replatform
VDIWIN11TST041,Replatform
VDIWIN11TST042,Replatform
VDIWIN11TST043,Replatform
VDIWIN11TST044,Replatform
VDIWIN11TST045,Replatform
VDIWIN11TST046,Replatform
VDIWIN11TST047,Replatform
VDIWIN11TST048,Replatform
VDIWIN11TST049,Replatform
vESMadm01a,Replatform
vESMadm01b,Replatform
vESMadm02a,Replatform
vESMadm02b,Replatform
vESMadm03a,Replatform
vESMadm04a,Replatform
vESMadmfs01,Replatform
vESMarc01,Rehost
vESMtempFX,Replatform
vESMtempRC,Replatform
vESMw10test01a,Replatform
vESMw10test01b,Replatform
vESMw10test01c,Replatform
vESMw10test01d,Replatform
vESMw10test01e,Replatform
vESMw10test01f,Replatform
vESMw10test01g,Replatform
vESMw10test01h,Replatform
vESMw10test01k,Replatform
vESMw10test01n,Replatform
vESMw10test01p,Replatform
vESMw10test01q,Replatform
vESMw10test01r,Replatform
vESMw10test01x,Replatform
vESMw10test01y,Replatform
vESMw10test01z,Replatform
vESMw10test02a,Replatform
vESMw10test02b,Replatform
vESMw10test02c,Replatform
vESMw10test02d,Replatform
vESMw10test02e,Replatform
vESMw11test01a,Replatform
vESMw11test01b,Replatform
vESMw11test01c,Replatform
vESMw11test01d,Replatform
vESMw11test01e,Replatform
vESMw11test01i,Replatform
vESMw11test01k,Replatform
vESMw11test01t,Replatform
vESMw11test01y,Replatform
vESMw11test01z,Replatform
vESMw11test02a,Replatform
vESMw11test02b,Replatform
vESMw11test02c,Replatform
vESMw11test02d,Replatform
vESMw11test02e,Replatform
vESMw11test03a,Replatform
vESMw11test03b,Replatform
vESMw11test03C,Replatform
vESMw11test03d,Replatform
vESMw11test04a,Replatform
vESMw11test04b,Replatform
vESMw11test04c,Replatform
vESMw11test04d,Replatform
vESMwks01a,Replatform
VPEG01B001743,Replatform
VPEG01B001951,Replatform
VPEG01B001953,Replatform
VPEG01B001958,Replatform
VPEG01B001961,Replatform
VPEG01B002112,Replatform
VPEG01B002122,Replatform
VPEG01B002142,Replatform
VPEG01B002159,Replatform
VPEG01B002168,Replatform
VPEG01B002172,Replatform
VPEG01B002195,Replatform
VPEG01B002199,Replatform
VPEG01B002230,Replatform
VPEG01B002234,Replatform
VPEG01B002259,Replatform
VPEG01B002261,Replatform
VPEG01B002263,Replatform
VPEG01B002276,Replatform
VPEG01B002285,Replatform
VPEG01B002318,Replatform
VPEG01B002324,Replatform
VPEG01B002328,Replatform
VPEG01B002356,Replatform
VPEG01B002367,Replatform
VPEG01B002379,Replatform
VPEG01B002408,Replatform
VPEG01B002415,Replatform
VPEG01B002419,Replatform
VPEG01B002434,Replatform
VPEG01B002438,Replatform
VPEG01B002457,Replatform
VPEG01B002461,Replatform
VPEG01B002480,Replatform
VPEG01B002504,Replatform
VPEG01B002520,Replatform
VPEG01B002529,Replatform
VPEG01B002623,Replatform
VPEG01B002624,Replatform
VPEG01B002626,Replatform
VPEG01B002630,Replatform
VPEG01B002647,Replatform
VPEG01B002651,Replatform
VPEG01B002656,Replatform
VPEG01B002700,Replatform
VPEG01B002780,Replatform
VPEG01B002798,Replatform
VPEG01B002833,Replatform
VPEG01B002849,Replatform
VPEG01B002855,Replatform
VPEG01B002857,Replatform
VPEG01B002861,Replatform
VPEG01B002900,Replatform
VPEG01B002908,Replatform
VPEG01B002914,Replatform
VPEG01B002919,Replatform
VPEG01B002930,Replatform
VPEG01B002942,Replatform
VPEG01B002970,Replatform
VPEG01B002986,Replatform
VPEG01B002996,Replatform
VPEG01B003009,Replatform
VPEG01B003020,Replatform
VPEG01B003027,Replatform
VPEG01B003028,Replatform
VPEG01B003054,Replatform
VPEG01B003055,Replatform
VPEG01B003057,Replatform
VPEG01B003060,Replatform
VPEG01B003061,Replatform
VPEG01B003062,Replatform
VPEG01B003063,Replatform
VPEG01B003064,Replatform
VPEG01B003065,Replatform
VPEG01B003066,Replatform
VPEG01B003067,Replatform
VPEG01B003068,Replatform
VPEG01B003069,Replatform
VPEG01B003071,Replatform
VPEG01B003072,Replatform
VPEG01B003073,Replatform
VPEG01B003074,Replatform
VPEG01B003076,Replatform
VPEG01B003077,Replatform
VPEG01B003079,Replatform
VPEG01B003081,Replatform
VPEG01B003082,Replatform
VPEG01B003083,Replatform
VPEG01B003084,Replatform
VPEG01B003085,Replatform
VPEG01B003086,Replatform
VPEG01B003087,Replatform
VPEG01B003088,Replatform
VPEG01B003089,Replatform
VPEG01B003096,Replatform
VPEG01B003203,Replatform
VPEG01B003220,Replatform
VPEG01B003232,Replatform
VPEG01B003235,Replatform
VPEG01B003239,Replatform
VPEG01B003241,Replatform
VPEG01B003243,Replatform
VPEG01B003244,Replatform
VPEG01B003245,Replatform
VPEG01B003246,Replatform
VPEG01B003247,Replatform
VPEG01B003248,Replatform
VPEG01B003249,Replatform
VPEG01B003250,Replatform
VPEG01B003251,Replatform
VPEG01B003252,Replatform
VPEG01B003253,Replatform
VPEG01B003254,Replatform
VPEG01B003255,Replatform
VPEG01B003256,Replatform
VPEG01B003257,Replatform
VPEG01B003258,Replatform
VPEG01B003259,Replatform
VPEG01B003260,Replatform
VPEG01B003261,Replatform
VPEG01B003262,Replatform
VPEG01B003263,Replatform
VPEG01B003264,Replatform
VPEG01B003265,Replatform
VPEG01B003266,Replatform
VPEG01B003267,Replatform
VPEG01B003361,Replatform
VPEG01B003373,Replatform
VPEG01B003379,Replatform
VPEG01B003381,Replatform
VPEG01B003382,Replatform
VPEG01B003387,Replatform
VPEG01B003388,Replatform
VPEG01B003389,Replatform
VPEG01B003395,Replatform
VPEG01B003409,Replatform
VPEG01B003425,Replatform
VPEG01B003430,Replatform
VPEG01B003434,Replatform
VPEG01B003436,Replatform
VPEG01B003459,Replatform
VPEG01B003463,Replatform
VPEG01B003476,Replatform
VPEG01B003528,Replatform
VPEG01B003537,Replatform
VPEG01B003547,Replatform
VPEG01B003558,Replatform
VPEG01B003569,Replatform
VPEG01B003573,Replatform
VPEG01B003580,Replatform
VPEG01B003590,Replatform
VPEG01B003600,Replatform
VPEG01B003639,Replatform
VPEG01B003660,Replatform
VPEG01B003664,Replatform
VPEG01B003676,Replatform
VPEG01B003679,Replatform
VPEG01B003691,Replatform
VPEG01B003712,Replatform
VPEG01B003719,Replatform
VPEG01B003733,Replatform
VPEG01B003743,Replatform
VPEG01B003763,Replatform
VPEG01B003780,Replatform
VPEG01B003804,Replatform
VPEG01B003808,Replatform
VPEG01B003809,Replatform
VPEG01B003822,Replatform
VPEG01B003825,Replatform
VPEG01B003826,Replatform
VPEG01B003827,Replatform
VPEG01B003851,Replatform
VPEG01B003857,Replatform
VPEG01B003869,Replatform
VPEG01B003877,Replatform
VPEG01B003890,Replatform
VPEG01B003914,Replatform
VPEG01B003923,Replatform
VPEG01B003948,Replatform
VPEG01B003985,Replatform
VPEG01B003988,Replatform
VPEG01B003999,Replatform
VPEG01B004006,Replatform
VPEG01B004039,Replatform
VPEG01B004040,Replatform
VPEG01B004053,Replatform
VPEG01B004114,Replatform
VPEG01B004115,Replatform
VPEG01B004129,Replatform
VPEG01B004141,Replatform
VPEG01B004145,Replatform
VPEG01B004149,Replatform
VPEG01B004151,Replatform
VPEG01B004156,Replatform
VPEG01B004159,Replatform
VPEG01B004174,Replatform
VPEG01B004179,Replatform
VPEG01B004191,Replatform
VPEG01B004195,Replatform
VPEG01B004197,Replatform
VPEG01B004198,Replatform
VPEG01B004203,Replatform
VPEG01B004206,Replatform
VPEG01B004209,Replatform
VPEG01B004235,Replatform
VPEG01B004243,Replatform
VPEG01B004255,Replatform
VPEG01B004272,Replatform
VPEG01B004276,Replatform
VPEG01B004298,Replatform
VPEG01B004303,Replatform
VPEG01B004307,Replatform
VPEG01B004321,Replatform
VPEG01B004343,Replatform
VPEG01B004362,Replatform
VPEG01B004363,Replatform
VPEG01B004364,Replatform
VPEG01B004365,Replatform
VPEG01B004366,Replatform
VPEG01B004367,Replatform
VPEG01B004370,Replatform
VPEG01B004374,Replatform
VPEG01B004379,Replatform
VPEG01B004382,Replatform
VPEG01B004386,Replatform
VPEG01B004414,Replatform
VPEG01B004421,Replatform
VPEG01B004427,Replatform
VPEG01B004428,Replatform
VPEG01B004429,Replatform
VPEG01B004437,Replatform
VPEG01B004438,Replatform
VPEG01B004439,Replatform
VPEG01B004440,Replatform
VPEG01B004443,Replatform
VPEG01B004445,Replatform
VPEG01B004447,Replatform
VPEG01B004454,Replatform
VPEG01B004462,Replatform
VPEG01B004530,Replatform
VPEG01B004533,Replatform
VPEG01B004537,Replatform
VPEG01B004538,Replatform
VPEG01B004543,Replatform
VPEG01B004548,Replatform
VPEG01B004551,Replatform
VPEG01B004561,Replatform
VPEG01B004563,Replatform
VPEG01B004567,Replatform
VPEG01B004581,Replatform
VPEG01B004591,Replatform
VPEG01B004593,Replatform
VPEG01B004595,Replatform
VPEG01B004598,Replatform
VPEG01B004600,Replatform
VPEG01B004610,Replatform
VPEG01B004614,Replatform
VPEG01B004615,Replatform
VPEG01B004627,Replatform
VPEG01B004629,Replatform
VPEG01B004632,Replatform
VPEG01B004634,Replatform
VPEG01B004661,Replatform
VPEG01B004681,Replatform
VPEG01B004686,Replatform
VPEG01B004692,Replatform
VPEG01B004699,Replatform
VPEG01B004715,Replatform
VPEG01B004723,Replatform
VPEG01B004727,Replatform
VPEG01B004740,Replatform
VPEG01B004750,Replatform
VPEG01B004752,Replatform
VPEG01B004773,Replatform
VPEG01B004779,Replatform
VPEG01B004783,Replatform
VPEG01B004785,Replatform
VPEG01B004790,Replatform
VPEG01B004793,Replatform
VPEG01B004796,Replatform
VPEG01B004810,Replatform
VPEG01B004817,Replatform
VPEG01B004821,Replatform
VPEG01B004823,Replatform
VPEG01B004826,Replatform
VPEG01B004827,Replatform
VPEG01B004831,Replatform
VPEG01B004833,Replatform
VPEG01B004838,Replatform
VPEG01B004841,Replatform
VPEG01B004845,Replatform
VPEG01B004852,Replatform
VPEG01B004859,Replatform
VPEG01B004861,Replatform
VPEG01B004863,Replatform
VPEG01B004875,Replatform
VPEG01B004880,Replatform
VPEG01B004900,Replatform
VPEG01B004932,Replatform
VPEG01B004939,Replatform
VPEG01B004944,Replatform
VPEG01B004953,Replatform
VPEG01B004954,Replatform
VPEG01B004955,Replatform
VPEG01B004971,Replatform
VPEG01B004976,Replatform
VPEG01B004984,Replatform
VPEG01B004985,Replatform
VPEG01B004991,Replatform
VPEG01B004998,Replatform
VPEG01B005001,Replatform
VPEG01B005022,Replatform
VPEG01B005034,Replatform
VPEG01B005036,Replatform
VPEG01B005042,Replatform
VPEG01B005051,Replatform
VPEG01B005059,Replatform
VPEG01B005060,Replatform
VPEG01B005073,Replatform
VPEG01B005084,Replatform
VPEG01B005087,Replatform
VPEG01B005100,Replatform
VPEG01B005101,Replatform
VPEG01B005119,Replatform
VPEG01B005120,Replatform
VPEG01B005135,Replatform
VPEG01B005139,Replatform
VPEG01B005148,Replatform
VPEG01B005154,Replatform
VPEG01B005168,Replatform
